Codigo INE;Municipio;Provincia;Comunidad Autonoma;Bicicletas Fallecidos;Bicicletas Heridos Graves;Bicicletas Heridos Leves;Ciclomotores Fallecidos;Ciclomotores Heridos Graves;Ciclomotores Heridos Leves;Motocicletas Fallecidos;Motocicletas Heridos Graves;Motocicletas Heridos Leves;Turismos Fallecidos;Turismos Heridos Graves;Turismos Heridos Leves;Furgonetas Fallecidos;Furgonetas Heridos Graves;Furgonetas Heridos Leves;Camiones Fallecidos;Camiones Heridos Graves;Camiones Heridos Leves;Autobus Fallecidos;Autobus Heridos Graves;Autobus Heridos Leves;Otros Fallecidos;Otros Heridos Graves;Otros Heridos Leves;Peatones Fallecidos;Peatones Heridos Graves;Peatones Heridos Leves;N Accidentes con Victimas;Fallecidos;Heridos Hospitalizados;Heridos no Hospitalizados;Latitud;Longitud
49108;Manganeses de la Lampreana;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;41,75027778;-5,708888889
49109;Manganeses de la Polvorosa;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,0362362;-5,7463806
49110;Manzanal de Arriba;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,9914505;-6,4397691
49111;Manzanal del Barco;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,6361881;-5,9460977
49112;Manzanal de los Infantes;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,054973;-6,3828094
49113;Matilla de Arzón;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,1061011;-5,6419419
49114;Matilla la Seca;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,57916667;-5,5
49115;Mayalde;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,2510972;-5,7975466
49116;Melgar de Tera;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,965762;-6,0141347
49117;Micereces de Tera;Zamora;Castilla y León;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;41,9886738;-5,8712632
49118;Milles de la Polvorosa;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,9231714;-5,7329641
49119;Molacillos;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,58277778;-5,659166667
49120;Molezuelas de la Carballeda;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,0827555;-6,1861859
49121;Mombuey;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,0240748;-6,3289988
49122;Monfarracinos;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,5539067;-5,706255
49123;Montamarta;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,6470095;-5,8049388
49124;Moral de Sayago;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,4721341;-6,1010157
49125;Moraleja del Vino;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,4645748;-5,655449
49126;Moraleja de Sayago;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,166667;-6
49127;Morales del Vino;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;41,4463897;-5,7319384
49128;Morales de Rey;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,067814;-5,7856032
49129;Morales de Toro;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,53666667;-5,308611111
49130;Morales de Valverde;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,94;-5,89
49131;Moralina;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,48944444;-6,138333333
49132;Moreruela de los Infanzones;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,63138889;-5,706944444
49133;Moreruela de Tábara;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,79888889;-5,871111111
49134;Muelas de los Caballeros;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,1299928;-6,3353407
49135;Muelas del Pan;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,52121389;-5,967272222
49136;Muga de Sayago;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,387433;-6,1983931
49137;Navianos de Valverde;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,95361111;-5,816666667
49138;Olmillos de Castro;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,73166667;-5,968888889
49139;Otero de Bodas;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,93916667;-6,150833333
49141;Pajares de la Lampreana;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,71527778;-5,693333333
49142;Palacios del Pan;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,604025;-5,8767025
49143;Palacios de Sanabria;Zamora;Castilla y León;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;42,055;-6,526944444
49145;Pedralba de la Pradería;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,0245478;-6,6938232
49146;Pego;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,84305556;-0,1175
49147;Peleagonzalo;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,48194444;-5,481944444
49148;Peleas de Abajo;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,3921082;-5,6899349
49149;Peñausende;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,2873276;-5,8667465
49150;Peque;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,0728595;-6,2747826
49152;Pereruela;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,415918;-5,8773739
49153;Perilla de Castro;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,72638889;-5,876388889
49154;Pías;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,08611111;-6,999444444
49155;Piedrahíta de Castro;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,6807915;-5,728865
49156;Pinilla de Toro;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,62777778;-5,364722222
49157;Pino del Oro;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,57611111;-6,120833333
49158;Piñero;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-33,1;-60,8
49159;Pobladura del Valle;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,1025369;-5,7334616
49160;Pobladura de Valderaduey;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,69972222;-5,5425
